University,Location
Universit?? Toulouse 1 Capitole,"Toulouse, France"
Universiti Teknologi MARA - UiTM,"Shah Alam, Malaysia"
University of Brescia,"Brescia, Italy"
University of Calcutta,"Kolkata, India"
University of Colombo,"Horana, Sri Lanka"
University of Hertfordshire,"Hatfield, United Kingdom"
University of Huddersfield,"Huddersfield, United Kingdom"
University of New Hampshire,"Durham, United States"
University of Pecs,"P??cs, Hungary"
University of Salford,"Salford, United Kingdom"
University of Southern Queensland,"Toowoomba, Australia"
University of Tulsa,"Tulsa, United States"
Yamaguchi University,"Yamaguchi City, Japan"
Yeungnam University,"Gyeongsan, South Korea"
Yokohama National University,"Yokohama City, Japan"
"Adam Mickiewicz University, Pozna??","Pozna??, Poland"
AGH University of Science and Technology,"Krakow, Poland"
Al-Azhar University,"Cairo, Egypt"
Alexandru Ioan Cuza University,"Ia??i, Romania"
Aligarh Muslim University,"Aligarh, India"
Ankara ??niversitesi,"Ankara, Turkey"
Aoyama Gakuin University,"Tokyo, Japan"
Athens University of Economics and Business,"Athens, Greece"
Auburn University,"Auburn, United States"
Australian Catholic University,"Melbourne, Australia"
Babes-Bolyai University,"Cluj-Napoca, Romania"
Baku State University,"Baku, Azerbaijan"
Banaras Hindu University,"Varanasi, India"
Baylor University,"Waco, United States"
Benem??rita Universidad Aut??noma de Puebla,"Puebla, Mexico"
Binghamton University SUNY,"Binghamton, United States"
"Birla Institute of Technology and Science, Pilani","Pilani, India"
Birzeit university,"Birzeit, Palestinian Territory, Occupied"
Central South University,China (Mainland)
Charles Sturt University,"Thurgoona, Australia"
Chongqing University,"Chongqing, China (Mainland)"
Chungnam National University,"Daejeon, South Korea"
Corvinus University of Budapest,"Budapest, Hungary"
Cukurova University,"Adana, Turkey"
Diponegoro University,"Semarang, Indonesia"
Vasyl` Stus Donetsk National University,"Vinnytsia, Ukraine"
Doshisha University,"Kyoto, Japan"
Edinburgh Napier University,"Edinburgh, United Kingdom"
Feng Chia University,"Taichung City, Taiwan"
Fordham University,"New York City, United States"
Fu Jen Catholic University,"New Taipei City, Taiwan"
Gazi ??niversitesi,"Ankara, Turkey"
George Mason University,"Fairfax, United States"
Istanbul University,"Istanbul, Turkey"
Kazakh Ablai Khan University of International Relations and World Languages,"Almaty, Kazakhstan"
Kent State University,"Kent, United States"
Khon Kaen University,"Khon Kaen, Thailand"
King Mongkut's University of Technology Thonburi,"Bangkok, Thailand"
Kyushu Institute of Technology,"Kitakyushu, Japan"
University of Lodz,"Lodz, Poland"
London South Bank University,"London, United Kingdom"
Makerere University,"Kampala, Uganda"
Manchester Metropolitan University (MMU),"Manchester , United Kingdom"
Marquette University,"Milwaukee, United States"
Meiji University,"Tokyo, Japan"
Miami University,"Oxford, United States"
New Jersey Institute of Technology (NJIT),"Newark, United States"
Nicolaus Copernicus University,"Toru??, Poland"
North-West University,"Potchefstroom, South Africa"
Nottingham Trent University,"Nottingham, United Kingdom"
Novosibirsk State Technical University,"Novosibirsk, Russia"
Ochanomizu University,"Tokyo, Japan"
Ohio University,"Athens, United States"
Oklahoma State University,"Stillwater, United States"
Panjab University,"Chandigarh, India"
Plekhanov Russian University of Economics,"Moscow, Russia"
Pontificia Universidad Cat??lica del Ecuador (PUCE),"Quito, Ecuador"
Pontif??cia Universidade Cat??lica do Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil"
Prince of Songkla University,"Hat Yai, Thailand"
Ritsumeikan University,"Kyoto, Japan"
Ryerson University,"Toronto, Canada"
Saitama University,"Saitama City, Japan"
Samara National Research University (Samara University),"Samara, Russia"
San Diego State University,"San Diego , United States"
Seoul National University of Science and Technology,"Seoul, South Korea"
Institut Teknologi Sepuluh Nopember (ITS Surabaya),"Surabaya, Indonesia"
Shahid Beheshti University (SBU),"Tehran, Iran, Islamic Republic of"
Shinshu University,"Matsumoto City, Japan"
Southern Cross University,"Lismore, Australia"
Sumy State University,"Sumy, Ukraine"
Robert Gordon University,"Aberdeen, United Kingdom"
Tokai University,"Hiratsuka City, Japan"
Universidad Austral de Chile,"Valdivia, Chile"
Universidad Aut??noma de Nuevo Le??n,"San Nicol??s de los Garza, Mexico"
Universidad Aut??noma del Estado de M??xico (UAEMex),"Toluca de Lerdo, Mexico"
Universidad de Castilla-La Mancha,"Ciudad Real, Spain"
Universidad de Guadalajara (UDG),"Guadalajara, Mexico"
Universidad de las Am??ricas Puebla (UDLAP),"Cholula, Mexico"
Universidad de Los Andes - (ULA) M??rida,"Merida, Venezuela"
Universidad de Monterrey (UDEM),"San Pedro Garza Garc??a, Mexico"
University of Murcia,"Murcia, Spain"
Universidad de Oviedo,"Oviedo, Spain"
Universidad de Puerto Rico,"San Juan, Puerto Rico"
Universidad de Talca,"Talca, Chile"
Universidad de Valpara??so (UV),"Valpara??so, Chile"
Universidad del Norte,"Barranquilla, Colombia"
Universidad del Rosario,"Bogot??, Colombia"
Universidad del Valle,"Cali, Colombia"
Universidad Industrial de Santander - UIS,"Bucaramanga, Colombia"
Universidad Metropolitana,"Caracas, Venezuela"
Universidad Nacional Costa Rica,"Heredia, Costa Rica"
Universidad Nacional de Cuyo,"Mendoza, Argentina"
Universidad Nacional de Mar del Plata,"Mar del Plata, Argentina"
Universidad Nacional de Rosario (UNR),"Rosario, Argentina"
Universidad Nacional de Tucum????n,"San Miguel de Tucum??n, Argentina"
Universidad Nacional del Sur,"Bahia Blanca, Argentina"
Universidad Nacional Mayor de San Marcos,"Lima, Peru"
Universidad Panamericana (UP),"Mexico City, Mexico"
Universidad Peruana Cayetano Heredia (UPCH),"San Martin, Peru"
Universidad Rey Juan Carlos,"Madrid, Spain"
Universidad T??cnica Federico Santa Mar??a (USM),"Valpara??so, Chile"
Universidad Tecnol??gica Nacional (UTN),"Buenos Aires, Argentina"
Universidade da Coru??a,"A Coru??a, Spain"
Universidade do Estado do Rio de Janeiro (UERJ),"Rio de Janeiro, Brazil"
Universidade Estadual de Londrina,"Londrina, Brazil"
Universidade Federal da Bahia,"Salvador, Brazil"
Universidade Federal de Santa Maria,"Frederico Westphalen, Brazil"
Universidade Federal de Vi??osa (UFV),"Vi??osa, Brazil"
Universidade Federal do Cear?? (UFC),"Fortaleza, Brazil"
Universidade Federal do Paran?? - UFPR,"Curitiba, Brazil"
Universidade Federal de Pernambuco (UFPE),"Recife, Brazil"
Universidade Federal Fluminense,"Rio de Janeiro, Brazil"
Catania University,"Catania, Italy"
University of Siena,"Siena, Italy"
University of Palermo,"Palermo, Italy"
Universitas Muhammadiyah Surakarta,"Surakarta, Indonesia"
Universit??t Rostock,"Rostock, Germany"
Universit?? Charles-de-Gaulle Lille 3,France
Universit?? de Caen Normandie,"Caen, France"
Universit?? de Cergy-Pontoise,"Cergy, France"
Universit?? de Poitiers,"Poitiers, France"
Universit?? Jean Moulin Lyon 3,"Lyon, France"
Universit?? Lille 2 Droit et Sant??,"Lille, France"
Universit?? Mohammed V de Rabat,"Rabat, Morocco"
Universit?? Paris-Nanterre,"Paris, France"
Paul Val??ry University Montpellier,"Montpellier, France"
University of Bahrain,"Zallaq, Bahrain"
University of Bari,"Bari, Italy"
University of Belgrade,"Belgrade, Serbia"
Universitas Brawijaya,"Malang , Indonesia"
University of Central Lancashire,"Preston, United Kingdom"
University of East London,"London, United Kingdom"
University of Engineering & Technology (UET) Lahore,"Lahore, Pakistan"
University of Ghana,"Legon, Ghana"
University of Greenwich,United Kingdom
University of Karachi,"Karachi, Pakistan"
The University of Lahore,"Lahore, Pakistan"
University of Maribor,"Maribor, Slovenia"
University of Mississippi,"Oxford, United States"
University of Montana Missoula,"Missoula , United States"
University of Mumbai,"Mumbai, India"
University of Nairobi,"Nairobi, Kenya"
University of New England Australia,"Armidale, Australia"
Savitribai Phule Pune University,"Pune, India"
University of San Diego,"San Diego, United States"
University of San Francisco,"San Francisco, United States"
University of Santo Tomas,"Manila, Philippines"
University of the Pacific,"Stockton, United States"
University of the Sunshine Coast,"Sunshine Coast, Australia"
University of the Western Cape,"Cape Town, South Africa"
University of Wroclaw,"Wroclaw, Poland"
Universit?? de Toulouse II-Le Mirail,"Toulouse, France"
Utah State University,"Logan, United States"
Verona University,"Verona, Italy"
Voronezh State University,"Voronezh , Russia"
Vytautas Magnus University,"Kaunas, Lithuania"
Universitatea de Vest din Timisoara /  West University of Timisoara,"Timi??oara, Romania"
Wroclaw University of Science and Technology (WRUST),"Wroclaw , Poland"
Baylor College of Medicine,"Houston, United States"
BI Norwegian Business School,"Oslo, Norway"
Chung-Ang University (CAU),"Seoul, South Korea"
Copenhagen Business School,"Frederiksberg, Denmark"
Cranfield University,"Bedford, United Kingdom"
ESSEC Business School,"Cergy, France"
HEC Paris School of Management,"Paris, France"
INSEAD,"Fontainebleau, France"
Jawaharlal Nehru University,"New Delhi, India"
Karolinska Institutet,"Stockholm, Sweden"
King Abdullah University of Science & Technology (KAUST),"Thuwal, Saudi Arabia"
London Business School,"London, United Kingdom"
Stockholm School of Economics,Sweden
Bocconi University,"Milan, Italy"
Universit?? de Technologie de Compi??gne (UTC),"Compi??gne, France"
"University of California, San Francisco","San Francisco, United States"
Prague University of Economics and Business,"Prague, Czech Republic"
Weizmann Institute of Science,"Rehovot, Israel"
WHU - Otto Beisheim School of Management,"Vallendar, Germany"
EBS Business School,"Wiesbaden, Germany"
Massachusetts Institute of Technology (MIT),"Cambridge, United States"
Stanford University,"Stanford, United States"
Harvard University,"Cambridge, United States"
California Institute of Technology (Caltech),"Pasadena, United States"
University of Oxford,"Oxford, United Kingdom"
University of Cambridge,"Cambridge, United Kingdom"
ETH Zurich - Swiss Federal Institute of Technology,"Z??rich, Switzerland"
Imperial College London,"London, United Kingdom"
University of Chicago,"Chicago, United States"
UCL,"London, United Kingdom"
National University of Singapore (NUS),"Singapore, Singapore"
"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore"
Princeton University,"Princeton, United States"
Cornell University,"Ithaca, United States"
Yale University,"New Haven, United States"
Columbia University,"New York City, United States"
Tsinghua University,"Beijing, China (Mainland)"
The University of Edinburgh,"Edinburgh, United Kingdom"
University of Pennsylvania,"Philadelphia, United States"
University of Michigan-Ann Arbor,"Ann Arbor, United States"
Johns Hopkins University,"Baltimore, United States"
EPFL,"Lausanne, Switzerland"
The University of Tokyo,"Tokyo, Japan"
The Australian National University,"Canberra, Australia"
The University of Hong Kong,"Hong Kong, Hong Kong SAR"
Duke University,"Durham, United States"
"University of California, Berkeley (UCB)","Berkeley, United States"
University of Toronto,"Toronto, Canada"
The University of Manchester,"Manchester, United Kingdom"
Peking University,"Beijing, China (Mainland)"
King's College London,"London, United Kingdom"
"University of California, Los Angeles (UCLA)","Los Angeles, United States"
McGill University,"Montreal, Canada"
Northwestern University,"Evanston, United States"
Kyoto University,"Kyoto, Japan"
Seoul National University,"Seoul, South Korea"
The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR"
The London School of Economics and Political Science (LSE),"London, United Kingdom"
The University of Melbourne,"Parkville, Australia"
KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea"
"University of California, San Diego (UCSD)","San Diego, United States"
The University of Sydney,"Sydney, Australia"
New York University (NYU),"New York City, United States"
Fudan University,"Shanghai, China (Mainland)"
The University of New South Wales (UNSW Sydney),"Sydney, Australia"
Carnegie Mellon University,"Pittsburgh, United States"
University of British Columbia,"Vancouver, Canada"
The University of Queensland,"Brisbane, Australia"
The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR"
Universit?? PSL,France
University of Bristol,"Bristol, United Kingdom"
Delft University of Technology,"Delft, Netherlands"
University of Wisconsin-Madison,"Madison, United States"
The University of Warwick,"Coventry, United Kingdom"
City University of Hong Kong,"Hong Kong, Hong Kong SAR"
Brown University,"Providence, United States"
University of Amsterdam,"Amsterdam, Netherlands"
Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan"
Monash University,"Melbourne, Australia"
Shanghai Jiao Tong University,"Shanghai, China (Mainland)"
Technical University of Munich,"Munich, Germany"
Ludwig-Maximilians-Universit??t M??nchen,"Munich, Germany"
University of Texas at Austin,"Austin, United States"
Ruprecht-Karls-Universit??t Heidelberg,"Heidelberg, Germany"
Ecole Polytechnique,"Palaiseau, France"
University of Washington,"Seattle, United States"
Osaka University,"Osaka City, Japan"
Zhejiang University,"Hangzhou, China (Mainland)"
Georgia Institute of Technology,"Atlanta, United States"
University of Glasgow,"Glasgow, United Kingdom"
University of Illinois at Urbana-Champaign,"Champaign, United States"
National Taiwan University (NTU),"Taipei City, Taiwan"
Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina"
Durham University,"Durham, United Kingdom"
Sorbonne University,France
The University of Sheffield,"Sheffield, United Kingdom"
Tohoku University,"Sendai City, Japan"
University of Zurich,"Z??rich, Switzerland"
University of Birmingham,"Birmingham, United Kingdom"
University of Copenhagen,"Copenhagen, Denmark"
KU Leuven,"Leuven, Belgium"
University of Nottingham,"Nottingham, United Kingdom"
Pohang University of Science And Technology (POSTECH),"Pohang , South Korea"
"University of North Carolina, Chapel Hill","Chapel Hill, United States"
The University of Auckland,"Auckland, New Zealand"
Korea University,"Seoul, South Korea"
Rice University,"Houston, United States"
Universiti Malaya (UM),"Kuala Lumpur, Malaysia"
The Ohio State University,"Columbus, United States"
Lomonosov Moscow State University,"Moscow, Russia"
The University of Western Australia,"Perth, Australia"
Lund University,"Lund, Sweden"
Boston University,"Boston, United States"
University of Leeds,"Leeds, United Kingdom"
Pennsylvania State University,"University Park, United States"
University of Southampton,"Southampton, United Kingdom"
University of St Andrews,"St. Andrews, United Kingdom"
